Number of unfrozen electrons,RPA (PBE),MP2/CBS,SCS-MP2/CBS,PBE-D3
60,7.87697265,58.01104972,6.550907656,0.3675039958
84,1.950793253,14.22272354,15.39171452,8.051178942
60,7.108893707,62.53740275,5.92459605,1.892684533
72,4.942535213,34.7219739,8.582156267,9.193123245
72,4.709217083,28.72705566,7.401880316,8.958002351
42,15.32220028,70.45454545,6.231671554,17.87624991
54,7.163976125,20.48663262,16.82186843,2.437992043
52,7.537644916,19.38803141,11.8602762,3.505178195
42,14.59512102,56.56509695,5.263157895,10.62963506
64,14.24775864,5.419766206,37.64612115,5.264426359
64,11.23813904,2.726574501,39.70814132,12.18784467
64,7.162115148,1.530612245,43.65079365,24.32760402
62,11.95416813,3.671255736,40.59240718,14.35422696
60,12.60936598,5.056932351,37.64233088,8.812693785
60,7.312270006,30.33579966,15.87933978,2.588571369
62,4.750355374,26.32502633,17.62021762,6.571681594
74,3.59122698,13.09499065,28.64269383,5.535766859
72,2.812091432,14.83744806,28.13493033,5.766548586
74,0.7571711247,9.785849824,28.05638384,2.454442082
44,10.96792525,7.927747115,35.77521325,11.92605367
42,9.822621642,22.68221574,21.86588921,17.18777775
62,7.770750828,6.038533835,32.91823308,2.256704932
60,2.900883145,32.42574257,8.87553041,1.250636303
60,3.354727522,25.213919,9.326868226,2.393035127
68,3.764537457,26.78408746,8.928029153,0.7593716667
48,2.139885815,21.21106055,7.315365768,4.450509361
8,0.2890072061,7.927225471,12.93047433,21.57517568
54,0.3989017918,11.08760051,12.27253491,0.4313256806
60,2.031140441,7.196367764,14.82406356,1.711353998
36,5.75680687,8.48540146,12.40875912,15.32764619
38,3.284251462,14.25143954,12.81190019,7.609376026
36,4.092029096,20.13129103,14.34823382,5.971834843
76,3.040193502,17.96384396,11.05613701,1.082343986
66,2.854644716,3.068208638,15.60066084,3.855893848
6,2.447140579,1.844892381,12.77758797,10.46864385
26,7.675734733,1.268626661,14.13612565,9.662209229
60,4.917723652,4.232622161,35.82243634,3.595652992
58,5.524791031,3.656462585,34.26870748,3.916804825
58,5.066233361,21.59060582,14.30477716,2.61264968
56,5.296960373,5.564811729,24.79173609,2.766695183
56,3.839533879,2.509746589,10.45321637,11.74329974
60,8.14930757,14.77559254,13.76701967,3.05608787
